lemma, predicted, gold standard
be, O, be.v.01
be, O, be.v.03
be, O, be.v.02
be, O, be.v.08
be, be.v.02, O
be, be.v.08, O
be, be.v.13, O
be, O, be.v.03
be, be.v.06, be.v.02
be, be.v.01, O
be, be.v.08, be.v.03
be, be.v.01, O
be, O, be.v.02
be, O, be.v.01
be, O, be.v.08
be, O, be.v.01
be, O, be.v.03
be, be.v.01, O
be, be.v.03, be.v.01
be, O, be.v.08
be, O, be.v.08
be, be.v.02, be.v.03
be, be.v.03, be.v.08
be, O, be.v.01
be, be.v.01, be.v.08
be, O, be.v.01
be, O, be.v.03
be, O, be.v.02
be, O, be.v.03
be, be.v.02, be.v.01
be, be.v.01, be.v.02
be, O, be.v.01
be, O, be.v.02
be, be.v.03, be.v.02
be, O, be.v.01
be, O, be.v.02
be, O, be.v.03
be, be.v.08, be.v.01
be, O, be.v.01
be, O, be.v.01
be, O, be.v.01
be, O, be.v.02
be, be.v.08, be.v.01
be, O, be.v.01
be, be.v.01, be.v.02
be, be.v.01, be.v.08
be, O, be.v.03
be, be.v.03, O
be, O, be.v.01
be, be.v.02, be.v.01
be, be.v.02, be.v.01
be, be.v.02, be.v.01
be, O, be.v.03
be, O, be.v.01
be, O, be.v.01
be, be.v.03, be.v.01
be, be.v.02, be.v.01
be, be.v.02, be.v.03
be, be.v.03, be.v.01
be, be.v.01, be.v.03
be, O, be.v.02
be, be.v.03, O
be, be.v.02, be.v.01
be, be.v.08, be.v.01
be, be.v.08, be.v.01
be, be.v.03, be.v.08
be, be.v.01, O
graze, crop.v.05, graze.v.01
field, field.n.01, field.n.08
baby, baby.n.01, baby.n.06
play, play.v.01, play.v.07
play, play.v.01, play.v.05
play, play.v.07, play.v.15
play, play.v.01, play.v.05
trumpet, cornet.n.01, trumpet.n.01
tofu, bean_curd.n.01, tofu.n.01
eat, eat.v.01, eat.v.03
race, race.n.02, race.v.02
lead, lead.n.02, lead.n.01
pick~up, pick_up.v.02, pick_up.v.01
pick~up, pick_up.v.04, pick_up.v.03
person, O, person.n.01
person, person.n.01, O
watch, watch.v.03, watch.v.01
break, break.v.05, break.v.02
entity, entity.n.01, O
entity, entity.n.01, O
entity, entity.n.01, O
entity, entity.n.01, O
entity, entity.n.01, O
entity, entity.n.01, O
lipton, O, company.n.01
pierce, pierce.n.01, male.n.02
live, live.v.01, live.a.03
e.~28th~street, O, way.n.06
crawl, crawl.v.03, crawl.v.01
do, O, do.v.02
have, have.v.01, have.v.04
have, have.v.02, O
have, have.v.01, have.v.07
have, have.v.06, have.v.01
have, O, have.v.04
have, have.v.01, have.v.02
have, O, have.v.01
have, O, have.v.02
have, have.v.02, O
have, have.v.02, have.v.16
have, have.v.01, O
have, have.v.01, have.v.04
have, have.v.02, have.v.12
have, have.v.02, have.v.12
have, have.v.01, have.v.02
have, O, have.v.02
have, have.v.01, have.v.04
book, book.n.01, book.n.02
book, book.n.02, book.n.01
book, book.n.02, book.n.01
book, book.n.01, book.v.02
book, book.n.02, book.n.01
book, book.n.02, book.n.01
book, book.n.02, book.n.01
male, male.n.02, O
old, old.a.01, old.n.01
old, old.a.01, old.a.02
old, old.a.01, old.a.02
old, old.a.02, old.a.01
old, old.a.01, old.a.02
year, O, year.n.01
year, O, year.n.01
year, O, year.n.01
speak, speak.v.02, speak.v.01
give, give.v.01, give.v.03
give, give.v.03, give.v.12
arm, arm.n.01, arm.v.02
arm, arm.n.01, arm.v.02
bear, bear.v.02, O
march, O, march.v.06
march, O, march.n.06
hi, hello.n.01, hi.n.01
monday, O, monday.n.01
spread, spread.v.02, spread.v.04
table, table.n.02, table.n.03
